,customer_id,1,2,3,4,5,6,7,8,9,10,11,12,output
757,4328073,0,0,0,0,0,0,0,0,0,1,0,0,0
720,4195300,0,0,0,0,0,0,0,0,0,0,0,0,0
522,3259753,0,0,0,0,0,0,0,0,0,0,0,0,0
338,2448767,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,8941600,9,7,5,29,8,8,7,113,227,102,50,38,227
781,4431629,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1198446,3,1,8,2,1,1,0,0,12,0,1,0,0
1641,8391303,0,0,0,0,15,1,0,0,0,0,0,0,0
722,4201649,0,0,0,0,0,0,0,0,0,0,22,0,0
254,2141345,1,0,0,2,3,10,2,0,0,0,0,0,0
1944,9793939,67,94,9,0,21,41,7,20,10,21,5,0,15
1983,9938009,2,3,18,16,12,2,5,0,2,0,3,0,19
881,4873579,4,1,1,12,0,14,4,2,0,0,0,0,0
155,1682396,0,0,8,0,2,0,21,7,6,5,11,0,1
1693,8644484,0,0,0,0,0,0,0,0,0,0,0,0,5
1875,9495847,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,9769585,0,0,0,0,10,5,0,0,0,0,0,0,0
1265,6612054,3,0,0,8,0,1,5,7,3,8,0,8,10
1128,5952719,1,0,0,3,3,12,7,3,0,1,2,2,20
1322,6918292,0,0,0,0,0,0,0,0,7,3,0,0,0
1794,9082916,0,0,0,0,0,0,1,0,0,0,0,0,0
1141,6038158,2,1,1,5,10,23,1,12,15,38,29,132,129
204,1900846,0,0,0,0,0,0,0,0,0,0,0,0,0
1690,8625312,2,2,0,0,0,0,40,12,0,0,0,27,141
47,1191925,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,8018564,0,0,0,0,0,5,0,0,0,0,3,13,6
361,2556952,24,0,8,0,7,5,4,11,17,3,2,20,19
851,4729869,0,0,0,0,0,0,0,0,0,0,10,1,0
378,2620436,0,0,0,0,0,0,0,0,0,0,0,0,9
1718,8773337,0,0,0,0,0,0,0,0,0,0,0,1,112
570,3495905,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1284783,0,0,0,0,0,0,0,0,0,0,0,0,0
500,3185233,33,5,27,14,20,20,18,36,8,0,0,28,28
1781,9037039,0,0,1,0,0,0,33,0,1,0,0,14,6
1121,5901032,2,0,3,6,0,0,0,0,0,0,0,0,0
1523,7833720,0,0,0,0,0,0,0,0,0,0,0,0,0
339,2459835,0,0,0,0,0,0,0,0,0,6,36,1,0
344,2493232,0,0,1,0,0,0,0,0,0,0,0,0,0
521,3255890,4,0,2,0,0,0,0,0,0,0,0,0,0
737,4258203,0,0,0,0,0,0,0,0,0,0,0,0,0
533,3312549,0,0,0,0,0,0,0,0,0,0,0,0,0
754,4321162,0,0,0,0,0,0,0,0,0,8,0,0,0
1223,6385644,19,4,3,1,15,54,75,178,84,250,181,63,85
1211,6334856,1,5,9,8,5,4,4,32,43,24,3,15,8
1363,7107013,107,0,38,13,0,0,2,6,18,9,8,28,20
1141,6038158,12,15,38,29,132,53,41,35,26,44,21,38,99
439,2846263,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,8669455,0,0,0,0,0,0,0,0,4,41,10,11,21
456,2928768,0,1,5,2,12,0,6,0,6,1,5,5,13
110,1470431,0,0,0,0,0,12,0,0,0,0,0,0,0
549,3392637,0,0,0,0,0,0,0,0,0,0,0,2,1
459,2943010,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,9471023,0,1,0,0,0,0,2,0,0,0,0,0,0
1601,8214053,13,15,7,20,58,1,2,40,12,29,132,13,25
1310,6861385,0,1,34,0,6,2,2,0,0,0,23,0,2
1920,9675267,0,0,0,0,0,0,0,11,2,1,1,1,2
632,3790380,0,0,0,0,0,0,0,0,0,0,0,0,0
179,1773952,0,0,1,8,0,62,0,0,0,0,0,3,3
1180,6196912,0,9,0,0,0,0,0,0,0,0,0,0,0
672,3979822,12,0,0,0,0,0,0,3,1,0,0,0,30
1932,9737931,0,0,0,13,2,0,26,10,11,8,11,5,72
1293,6777306,12,9,8,6,0,60,5,0,0,1,9,15,15
326,2386155,0,0,0,0,0,0,0,0,0,0,0,0,0
1597,8182341,0,0,0,0,0,0,0,0,0,0,0,0,0
580,3537212,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1905713,36,2,4,0,1,19,15,58,28,1,0,7,16
1864,9447359,17,38,6,0,3,20,0,34,9,4,16,93,101
870,4790821,0,26,0,10,21,0,7,0,5,12,1,0,4
998,5379211,18,20,28,77,131,64,60,64,85,20,6,20,208
1997,9987263,1,19,2,0,25,31,1,0,7,19,0,0,44
824,4604981,31,8,14,3,5,6,7,11,12,2,14,0,26
1135,5983416,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,9110865,0,0,0,0,48,20,0,0,0,0,0,0,0
614,3721624,10,20,27,12,5,31,2,13,7,17,5,7,13
86,1350085,11,0,0,7,4,0,0,11,0,0,0,0,19
1834,9310804,0,0,0,0,0,0,0,0,0,0,0,0,0
